epoch	loss	acc	val_loss	val_acc
0	0.694307	0.585000	0.522602	0.796250
1	0.536594	0.735000	0.412004	0.850000
2	0.448919	0.788000	0.345289	0.867500
3	0.387489	0.835000	0.308305	0.872500
4	0.339972	0.852000	0.272557	0.891250
5	0.319406	0.866000	0.253865	0.896250
6	0.293878	0.869500	0.234843	0.901250
7	0.280294	0.887000	0.253102	0.898750
8	0.265706	0.890000	0.219062	0.907500
9	0.253791	0.904500	0.210039	0.908750
10	0.244116	0.902000	0.204317	0.912500
11	0.224874	0.909500	0.203018	0.912500
12	0.216578	0.917500	0.194697	0.918750
13	0.220033	0.912000	0.215505	0.908750
14	0.212661	0.913500	0.190343	0.917500
15	0.206619	0.915000	0.189017	0.916250
16	0.189587	0.930000	0.186306	0.918750
17	0.178063	0.930500	0.195108	0.912500
18	0.180400	0.929000	0.199020	0.917500
19	0.174826	0.935500	0.185264	0.922500
20	0.174171	0.935500	0.177075	0.922500
21	0.166079	0.937500	0.176800	0.927500
22	0.162063	0.939500	0.173606	0.922500
23	0.151664	0.943000	0.174300	0.927500
24	0.152506	0.942500	0.179327	0.927500
25	0.155331	0.940000	0.184994	0.923750
26	0.139608	0.949000	0.171748	0.928750
27	0.132506	0.950500	0.171508	0.931250
28	0.144564	0.940000	0.168841	0.927500
29	0.120952	0.956500	0.167873	0.927500
30	0.123085	0.953000	0.174211	0.925000
31	0.130347	0.949000	0.184319	0.925000
32	0.132880	0.950000	0.167092	0.932500
33	0.117415	0.958000	0.166784	0.931250
34	0.118419	0.955500	0.174157	0.931250
35	0.111205	0.960500	0.203254	0.918750
36	0.114769	0.957000	0.173033	0.923750
37	0.108479	0.959500	0.199485	0.920000
38	0.120957	0.950000	0.169561	0.928750
39	0.097117	0.964000	0.168060	0.931250
40	0.102792	0.962500	0.161960	0.935000
41	0.093951	0.965000	0.161024	0.937500
42	0.085478	0.971500	0.166973	0.936250
43	0.086570	0.966500	0.165828	0.935000
44	0.092530	0.967000	0.162824	0.933750
45	0.082328	0.968500	0.164104	0.931250
46	0.087482	0.972000	0.167958	0.932500
47	0.090142	0.971000	0.167430	0.933750
48	0.077485	0.973000	0.178704	0.932500
49	0.077140	0.973500	0.182043	0.930000
50	0.069330	0.973000	0.170999	0.930000
51	0.074363	0.968500	0.162870	0.936250
52	0.073592	0.975500	0.165805	0.935000
53	0.066185	0.977000	0.165874	0.937500
54	0.066473	0.979500	0.168116	0.936250
55	0.059374	0.977500	0.170298	0.933750
56	0.066938	0.974500	0.170511	0.936250
57	0.060142	0.978500	0.173541	0.932500
58	0.061894	0.976000	0.171140	0.936250
59	0.060961	0.975500	0.172927	0.935000
60	0.072247	0.971000	0.188948	0.927500
61	0.057321	0.980500	0.173476	0.933750
62	0.050477	0.982000	0.176331	0.935000
63	0.054585	0.980500	0.182358	0.933750
64	0.055326	0.980000	0.173622	0.936250
65	0.048185	0.981000	0.175590	0.933750
66	0.046009	0.986000	0.178264	0.932500
67	0.052506	0.983500	0.205327	0.923750
68	0.046975	0.985500	0.182449	0.933750
69	0.043562	0.985000	0.188043	0.932500
70	0.040903	0.988000	0.179184	0.936250
71	0.043296	0.985500	0.190274	0.932500
72	0.035463	0.987500	0.177739	0.937500
73	0.039418	0.985500	0.189294	0.933750
74	0.044828	0.984500	0.181192	0.935000
75	0.030039	0.992000	0.182480	0.937500
76	0.037182	0.990000	0.218894	0.922500
77	0.037342	0.987000	0.180382	0.936250
78	0.030978	0.989500	0.187432	0.932500
79	0.048036	0.983000	0.209457	0.928750
80	0.044507	0.981500	0.200937	0.935000
81	0.035135	0.990000	0.197092	0.931250
82	0.026540	0.992000	0.194290	0.935000
83	0.027507	0.993500	0.187065	0.936250
84	0.025873	0.992500	0.186141	0.938750
85	0.026495	0.991500	0.200104	0.931250
86	0.028859	0.989500	0.196065	0.935000
87	0.029343	0.988500	0.191661	0.937500
88	0.022131	0.994500	0.213619	0.927500
89	0.028678	0.990000	0.191086	0.933750
90	0.039222	0.984500	0.189429	0.933750
91	0.031250	0.988500	0.195843	0.931250
92	0.025355	0.991000	0.195864	0.933750
93	0.025442	0.992000	0.216869	0.937500
94	0.029624	0.991000	0.195387	0.932500
95	0.025910	0.991000	0.201153	0.930000
96	0.026529	0.991500	0.197042	0.930000
97	0.032259	0.990500	0.210401	0.931250
98	0.023304	0.992000	0.198761	0.930000
99	0.022529	0.994500	0.197618	0.932500
